session_duration,page_navigation_rate,input_field_activity,mouse_click_frequency,suspicious_input_patterns,form_submission_rate,csrf_token_presence,unusual_headers,client_error_rate,failed_login_attempts,unusual_sql_queries,response_time,server_error_rate,request_rate,unusual_http_methods,ip_reputation_score,brute_force_signatures,suspicious_file_uploads,is_attack
166,5,18,49,0,0,1,0,2,0,0,348,1,37,0,93,0,0,0
375,4,14,17,0,2,1,0,4,1,0,177,1,48,0,99,0,0,0
122,3,15,25,0,0,1,0,2,1,0,655,1,23,0,80,0,0,0
10,9,2,6,1,8,0,1,9,7,1,1502,7,411,1,45,1,1,1
351,3,7,47,0,0,1,0,3,0,0,312,0,25,0,98,0,0,0
191,2,24,37,0,0,1,0,0,1,0,764,1,31,0,97,0,0,0
313,5,32,20,0,1,1,0,3,1,0,506,0,49,0,74,0,0,0
593,2,16,19,0,1,1,0,0,1,0,188,1,27,0,94,0,0,0
425,1,30,41,0,0,1,0,2,1,0,657,1,33,0,91,0,0,0
79,1,36,16,0,2,1,0,4,1,0,256,0,42,0,91,0,0,0
125,5,17,10,0,1,1,0,2,1,0,694,0,18,0,82,0,0,0
21,11,0,2,1,4,0,1,13,5,1,894,7,395,1,11,1,1,1
264,2,20,44,0,1,1,0,4,1,0,151,1,37,0,75,0,0,0
435,2,22,36,0,2,1,0,1,1,0,112,0,25,0,73,0,0,0
10,12,4,7,1,4,0,1,12,9,1,2197,14,421,1,38,1,1,1
39,12,3,1,1,8,0,1,13,5,1,1017,5,382,1,34,1,1,1
151,3,35,7,0,1,1,0,1,0,0,324,0,40,0,82,0,0,0
314,5,18,9,0,2,1,0,0,1,0,591,1,35,0,71,0,0,0
42,1,23,46,0,2,1,0,4,1,0,199,1,18,0,90,0,0,0
32,10,3,9,1,4,0,1,9,8,1,1832,5,131,1,37,1,1,1
18,9,4,7,1,5,0,1,10,3,1,1450,14,204,1,25,1,1,1
101,4,19,34,0,1,1,0,2,0,0,757,1,34,0,80,0,0,0
56,3,19,45,0,2,1,0,3,0,0,492,0,41,0,85,0,0,0
323,5,22,44,0,2,1,0,2,0,0,448,0,22,0,95,0,0,0
490,4,16,32,0,0,1,0,4,1,0,113,1,33,0,92,0,0,0
124,4,29,32,0,2,1,0,4,1,0,707,0,33,0,93,0,0,0
363,1,19,34,0,0,1,0,1,0,0,180,0,35,0,88,0,0,0
255,4,13,29,0,0,1,0,3,0,0,552,0,37,0,85,0,0,0
46,8,1,2,1,8,0,1,14,5,1,2152,13,318,1,21,1,1,1
12,6,0,9,1,9,0,1,12,7,1,2459,13,279,1,7,1,1,1
100,1,37,48,0,0,1,0,3,0,0,489,1,23,0,85,0,0,0
31,9,0,3,1,9,0,1,10,8,1,1926,9,314,1,4,1,1,1
538,5,7,10,0,2,1,0,4,1,0,593,1,42,0,83,0,0,0
271,2,37,7,0,2,1,0,1,1,0,407,1,25,0,73,0,0,0
436,2,7,30,0,1,1,0,2,1,0,173,1,28,0,93,0,0,0
440,1,32,39,0,1,1,0,4,1,0,620,0,42,0,94,0,0,0
41,14,1,5,1,3,0,1,8,5,1,2045,9,169,1,34,1,1,1
15,9,0,1,1,7,0,1,5,7,1,1352,12,239,1,17,1,1,1
432,2,19,18,0,1,1,0,2,1,0,184,1,39,0,85,0,0,0
389,2,21,44,0,0,1,0,2,1,0,698,0,24,0,83,0,0,0
449,5,22,28,0,0,1,0,2,0,0,754,1,20,0,73,0,0,0
2,13,0,3,1,8,0,1,5,3,1,1628,11,265,1,34,1,1,1
29,13,2,8,1,8,0,1,12,4,1,2045,9,122,1,22,1,1,1
80,4,31,31,0,1,1,0,2,1,0,705,1,33,0,85,0,0,0
49,2,16,35,0,0,1,0,3,0,0,597,1,34,0,97,0,0,0
128,3,28,29,0,0,1,0,0,0,0,573,0,41,0,91,0,0,0
227,3,18,37,0,2,1,0,0,1,0,377,1,18,0,96,0,0,0
545,3,13,8,0,0,1,0,1,1,0,460,1,31,0,83,0,0,0
48,5,38,15,0,2,1,0,2,1,0,196,0,46,0,78,0,0,0
36,6,0,1,1,5,0,1,8,5,1,1926,6,481,1,21,1,1,1
43,5,3,2,1,9,0,1,10,7,1,2032,6,260,1,0,1,1,1
9,12,2,6,1,9,0,1,12,6,1,1411,8,481,1,28,1,1,1
557,2,38,13,0,1,1,0,1,0,0,186,0,16,0,89,0,0,0
72,1,31,21,0,2,1,0,3,0,0,734,1,28,0,98,0,0,0
34,14,0,6,1,9,0,1,8,3,1,2046,12,274,1,15,1,1,1
130,5,16,10,0,1,1,0,3,0,0,281,0,26,0,73,0,0,0
594,5,35,29,0,2,1,0,4,1,0,195,1,33,0,71,0,0,0
594,1,10,47,0,1,1,0,4,1,0,576,1,20,0,86,0,0,0
48,6,1,4,1,5,0,1,9,7,1,1232,14,201,1,24,1,1,1
287,2,33,5,0,2,1,0,0,1,0,532,1,24,0,84,0,0,0
49,5,4,2,1,5,0,1,7,7,1,1435,14,371,1,31,1,1,1
239,1,25,48,0,0,1,0,3,0,0,293,0,29,0,85,0,0,0
38,7,0,9,1,6,0,1,6,6,1,2439,10,242,1,46,1,1,1
16,5,4,1,1,8,0,1,7,3,1,2022,10,408,1,30,1,1,1
59,3,32,45,0,0,1,0,2,0,0,701,0,10,0,77,0,0,0
195,5,8,46,0,0,1,0,4,1,0,157,0,47,0,79,0,0,0
19,8,2,5,1,8,0,1,10,3,1,1002,10,232,1,7,1,1,1
77,4,18,42,0,1,1,0,1,0,0,372,0,23,0,73,0,0,0
6,10,3,5,1,9,0,1,6,4,1,2072,10,409,1,10,1,1,1
284,2,18,7,0,1,1,0,2,0,0,759,1,22,0,76,0,0,0
168,3,37,17,0,2,1,0,1,0,0,308,1,16,0,74,0,0,0
466,2,24,14,0,1,1,0,1,0,0,372,0,27,0,79,0,0,0
357,2,15,19,0,2,1,0,4,1,0,725,1,48,0,94,0,0,0
27,10,0,8,1,9,0,1,11,8,1,806,6,329,1,34,1,1,1
30,2,27,10,0,2,1,0,2,0,0,240,1,17,0,78,0,0,0
329,1,18,10,0,0,1,0,2,0,0,244,1,36,0,70,0,0,0
260,4,20,12,0,0,1,0,0,1,0,689,0,24,0,80,0,0,0
119,5,21,47,0,0,1,0,2,1,0,644,1,44,0,95,0,0,0
187,5,14,32,0,2,1,0,0,1,0,448,1,27,0,70,0,0,0
581,3,31,47,0,2,1,0,3,0,0,217,0,21,0,79,0,0,0
303,3,24,5,0,1,1,0,1,0,0,290,1,42,0,90,0,0,0
490,1,39,27,0,0,1,0,3,0,0,223,0,31,0,84,0,0,0
3,13,1,7,1,4,0,1,13,5,1,1729,6,131,1,22,1,1,1
319,4,8,18,0,2,1,0,2,1,0,734,1,10,0,78,0,0,0
53,2,5,45,0,0,1,0,3,1,0,266,1,26,0,74,0,0,0
46,11,4,4,1,6,0,1,9,3,1,1301,8,259,1,31,1,1,1
439,2,9,34,0,2,1,0,4,1,0,272,0,11,0,83,0,0,0
48,6,1,0,1,6,0,1,8,4,1,1435,6,364,1,30,1,1,1
29,12,0,4,1,8,0,1,14,9,1,2155,10,195,1,46,1,1,1
151,4,29,20,0,0,1,0,2,1,0,271,1,35,0,70,0,0,0
423,3,27,30,0,0,1,0,1,0,0,178,1,20,0,87,0,0,0
498,2,14,5,0,2,1,0,0,1,0,124,0,49,0,73,0,0,0
430,4,28,45,0,2,1,0,0,1,0,202,1,42,0,81,0,0,0
315,1,27,10,0,2,1,0,2,1,0,453,1,20,0,85,0,0,0
160,1,9,35,0,0,1,0,1,1,0,641,1,12,0,73,0,0,0
209,1,14,29,0,1,1,0,2,0,0,221,0,49,0,71,0,0,0
62,3,15,39,0,2,1,0,4,1,0,118,1,30,0,93,0,0,0
3,13,1,4,1,9,0,1,13,4,1,969,12,147,1,39,1,1,1
445,2,33,26,0,0,1,0,1,1,0,156,0,35,0,91,0,0,0
350,1,8,22,0,1,1,0,1,1,0,630,1,39,0,85,0,0,0
388,5,39,28,0,2,1,0,1,0,0,491,0,43,0,75,0,0,0
2,6,3,5,1,6,0,1,14,3,1,1025,12,317,1,19,1,1,1
82,4,33,23,0,1,1,0,0,1,0,349,0,13,0,83,0,0,0
455,2,34,31,0,1,1,0,0,1,0,578,1,26,0,86,0,0,0
583,5,7,32,0,0,1,0,2,0,0,116,0,36,0,71,0,0,0
22,12,3,8,1,8,0,1,14,6,1,1638,11,352,1,34,1,1,1
121,3,23,19,0,0,1,0,0,1,0,564,0,29,0,76,0,0,0
22,14,2,5,1,8,0,1,7,9,1,2481,8,123,1,10,1,1,1
8,5,0,0,1,9,0,1,5,8,1,999,13,307,1,8,1,1,1
392,4,10,28,0,2,1,0,2,0,0,245,1,30,0,86,0,0,0
39,4,17,33,0,2,1,0,3,1,0,138,1,38,0,80,0,0,0
596,1,15,22,0,0,1,0,3,0,0,690,0,37,0,94,0,0,0
183,5,25,39,0,1,1,0,4,0,0,334,0,34,0,86,0,0,0
326,1,14,6,0,0,1,0,1,0,0,309,0,48,0,95,0,0,0
47,5,24,5,0,2,1,0,2,1,0,193,0,11,0,87,0,0,0
4,13,2,3,1,5,0,1,8,7,1,1322,13,125,1,6,1,1,1
79,2,10,10,0,1,1,0,1,0,0,462,0,34,0,99,0,0,0
10,9,0,9,1,5,0,1,11,6,1,1093,9,173,1,49,1,1,1
43,9,4,6,1,3,0,1,13,6,1,1376,14,320,1,44,1,1,1
57,5,7,42,0,2,1,0,1,0,0,196,1,29,0,87,0,0,0
14,12,4,6,1,6,0,1,12,5,1,2290,8,241,1,32,1,1,1
115,5,23,31,0,2,1,0,0,1,0,498,1,48,0,89,0,0,0
85,5,25,28,0,1,1,0,0,0,0,552,1,23,0,99,0,0,0
24,7,1,1,1,8,0,1,8,8,1,1439,14,424,1,28,1,1,1
7,8,0,4,1,5,0,1,11,9,1,2384,9,118,1,35,1,1,1
43,12,1,4,1,6,0,1,10,8,1,2373,9,484,1,7,1,1,1
44,9,2,5,1,6,0,1,10,9,1,1813,7,280,1,46,1,1,1
15,10,4,4,1,7,0,1,7,5,1,1834,12,321,1,32,1,1,1
14,11,2,3,1,8,0,1,9,7,1,982,14,297,1,16,1,1,1
319,4,36,12,0,1,1,0,4,1,0,619,0,48,0,86,0,0,0
409,3,8,16,0,0,1,0,1,1,0,123,0,23,0,86,0,0,0
67,2,30,45,0,1,1,0,0,1,0,583,1,24,0,73,0,0,0
20,9,2,6,1,8,0,1,7,4,1,803,10,456,1,5,1,1,1
38,8,1,2,1,9,0,1,7,7,1,2299,10,212,1,7,1,1,1
567,4,10,24,0,2,1,0,3,1,0,571,1,25,0,98,0,0,0
381,4,28,33,0,2,1,0,2,0,0,372,1,10,0,86,0,0,0
541,4,15,23,0,1,1,0,2,0,0,702,1,47,0,75,0,0,0
472,1,18,5,0,2,1,0,0,0,0,210,1,19,0,90,0,0,0
537,4,34,8,0,0,1,0,1,1,0,415,0,18,0,96,0,0,0
26,11,3,6,1,8,0,1,6,3,1,2780,7,262,1,24,1,1,1
24,10,1,3,1,3,0,1,14,9,1,846,10,378,1,23,1,1,1
104,3,36,23,0,0,1,0,4,0,0,678,0,34,0,83,0,0,0
511,5,13,8,0,0,1,0,2,0,0,759,1,19,0,73,0,0,0
334,1,5,38,0,1,1,0,4,0,0,359,1,24,0,71,0,0,0
283,3,6,27,0,1,1,0,4,1,0,459,0,13,0,79,0,0,0
99,4,33,21,0,2,1,0,3,0,0,700,0,15,0,70,0,0,0
60,3,38,33,0,1,1,0,4,0,0,378,0,17,0,84,0,0,0
44,4,20,14,0,0,1,0,4,1,0,291,0,19,0,93,0,0,0
476,3,27,8,0,2,1,0,1,1,0,149,1,47,0,96,0,0,0
474,1,9,26,0,1,1,0,1,0,0,362,0,44,0,75,0,0,0
318,5,35,22,0,2,1,0,1,0,0,355,0,46,0,72,0,0,0
216,1,21,9,0,0,1,0,1,0,0,449,1,15,0,81,0,0,0
446,5,27,36,0,1,1,0,4,1,0,423,1,30,0,92,0,0,0
586,5,21,11,0,2,1,0,1,0,0,730,1,46,0,74,0,0,0
517,3,25,42,0,1,1,0,2,0,0,684,0,30,0,90,0,0,0
508,3,13,25,0,1,1,0,3,0,0,474,1,38,0,93,0,0,0
577,1,21,24,0,2,1,0,3,0,0,289,0,28,0,70,0,0,0
277,3,39,45,0,2,1,0,0,1,0,175,1,18,0,77,0,0,0
11,8,0,9,1,7,0,1,14,6,1,2887,14,341,1,9,1,1,1
26,6,1,8,1,8,0,1,8,5,1,1872,7,204,1,42,1,1,1
60,4,35,42,0,1,1,0,0,0,0,776,1,35,0,75,0,0,0
527,3,24,49,0,2,1,0,2,0,0,264,0,14,0,81,0,0,0
90,2,36,13,0,1,1,0,4,1,0,520,1,10,0,92,0,0,0
111,2,20,14,0,0,1,0,2,1,0,178,1,45,0,80,0,0,0
578,5,23,48,0,1,1,0,0,0,0,664,0,14,0,76,0,0,0
277,1,34,36,0,2,1,0,3,1,0,377,1,18,0,70,0,0,0
300,5,5,40,0,1,1,0,4,1,0,400,1,33,0,83,0,0,0
475,5,21,48,0,0,1,0,2,1,0,362,0,11,0,79,0,0,0
382,5,12,13,0,1,1,0,1,0,0,206,0,31,0,74,0,0,0
336,4,35,16,0,0,1,0,4,1,0,499,0,36,0,79,0,0,0
3,11,0,6,1,8,0,1,6,3,1,2411,8,184,1,25,1,1,1
135,4,33,26,0,0,1,0,2,1,0,161,1,30,0,83,0,0,0
595,5,22,23,0,0,1,0,1,0,0,199,1,36,0,79,0,0,0
485,4,21,43,0,0,1,0,1,1,0,463,0,33,0,81,0,0,0
31,14,3,1,1,6,0,1,11,5,1,2378,8,409,1,3,1,1,1
504,5,13,15,0,0,1,0,1,1,0,401,0,40,0,79,0,0,0
358,3,34,23,0,2,1,0,4,0,0,517,1,21,0,80,0,0,0
292,3,36,24,0,0,1,0,0,1,0,407,1,32,0,82,0,0,0
369,1,29,19,0,0,1,0,1,0,0,174,0,44,0,80,0,0,0
467,4,26,13,0,0,1,0,0,1,0,450,0,26,0,79,0,0,0
158,5,32,9,0,0,1,0,1,1,0,779,1,10,0,93,0,0,0
460,3,27,11,0,2,1,0,1,1,0,643,0,45,0,73,0,0,0
29,6,1,9,1,4,0,1,14,6,1,1681,9,258,1,7,1,1,1
364,4,39,9,0,2,1,0,1,1,0,487,0,11,0,86,0,0,0
476,3,30,36,0,2,1,0,1,1,0,517,1,10,0,73,0,0,0
4,12,2,7,1,6,0,1,8,5,1,1834,9,107,1,24,1,1,1
510,2,31,43,0,0,1,0,0,1,0,436,1,49,0,86,0,0,0
450,5,15,40,0,2,1,0,0,0,0,529,0,17,0,76,0,0,0
494,4,9,38,0,0,1,0,0,0,0,214,1,20,0,97,0,0,0
28,7,3,9,1,7,0,1,12,3,1,2451,9,457,1,34,1,1,1
39,9,4,1,1,6,0,1,7,3,1,2057,6,172,1,19,1,1,1
516,4,27,39,0,2,1,0,0,0,0,434,0,40,0,92,0,0,0
256,1,15,44,0,0,1,0,1,0,0,418,1,21,0,91,0,0,0
24,14,0,0,1,9,0,1,11,4,1,2001,11,304,1,20,1,1,1
201,1,8,41,0,2,1,0,3,1,0,399,1,28,0,98,0,0,0
133,5,32,28,0,0,1,0,1,0,0,228,1,39,0,96,0,0,0
169,1,15,8,0,2,1,0,0,0,0,162,1,16,0,86,0,0,0
347,3,22,30,0,0,1,0,4,1,0,607,0,42,0,82,0,0,0
105,2,5,15,0,1,1,0,1,1,0,647,0,16,0,94,0,0,0
14,11,4,4,1,9,0,1,10,5,1,1410,9,144,1,14,1,1,1
43,7,4,4,1,6,0,1,7,6,1,2715,7,405,1,8,1,1,1
22,8,3,2,1,3,0,1,13,6,1,893,5,300,1,38,1,1,1
452,3,13,7,0,1,1,0,3,0,0,493,1,31,0,70,0,0,0
40,10,2,9,1,7,0,1,13,3,1,1271,10,325,1,35,1,1,1
393,1,25,18,0,2,1,0,2,1,0,587,1,29,0,75,0,0,0
22,14,3,5,1,6,0,1,7,4,1,1777,10,374,1,43,1,1,1
44,11,1,9,1,5,0,1,9,6,1,1039,6,138,1,12,1,1,1
156,1,13,9,0,2,1,0,0,1,0,285,1,47,0,92,0,0,0
527,4,37,45,0,1,1,0,2,0,0,743,0,25,0,70,0,0,0
28,8,4,9,1,8,0,1,11,6,1,1930,7,313,1,0,1,1,1
66,5,9,16,0,1,1,0,0,0,0,360,0,38,0,82,0,0,0
31,11,0,5,1,4,0,1,9,5,1,1016,8,101,1,4,1,1,1
7,11,4,1,1,4,0,1,9,7,1,806,12,325,1,21,1,1,1
361,5,21,43,0,1,1,0,3,0,0,716,0,30,0,94,0,0,0
101,2,23,36,0,0,1,0,0,0,0,510,0,19,0,76,0,0,0
499,2,30,32,0,1,1,0,0,0,0,261,1,10,0,87,0,0,0
478,2,30,15,0,2,1,0,2,1,0,530,1,44,0,96,0,0,0
56,2,22,34,0,0,1,0,1,1,0,443,0,34,0,91,0,0,0
175,4,28,12,0,1,1,0,1,1,0,781,1,31,0,75,0,0,0
65,5,15,16,0,1,1,0,0,1,0,508,0,33,0,75,0,0,0
49,13,2,7,1,9,0,1,8,6,1,891,14,339,1,45,1,1,1
238,3,18,19,0,0,1,0,3,1,0,781,0,17,0,84,0,0,0
82,4,39,7,0,1,1,0,3,1,0,473,0,18,0,93,0,0,0
39,14,4,7,1,6,0,1,13,7,1,2962,10,229,1,7,1,1,1
17,9,2,9,1,5,0,1,6,7,1,2108,7,489,1,25,1,1,1
463,4,34,34,0,1,1,0,4,1,0,725,0,12,0,72,0,0,0
30,11,4,9,1,3,0,1,5,3,1,2492,10,419,1,39,1,1,1
335,2,11,14,0,2,1,0,4,0,0,606,1,13,0,82,0,0,0
386,3,21,25,0,0,1,0,2,0,0,106,1,14,0,97,0,0,0
418,2,13,29,0,0,1,0,4,1,0,639,0,17,0,94,0,0,0
377,2,9,32,0,1,1,0,0,1,0,393,0,36,0,98,0,0,0
423,1,30,21,0,1,1,0,1,0,0,343,0,12,0,70,0,0,0
5,7,0,6,1,3,0,1,11,7,1,1353,8,122,1,28,1,1,1
333,2,16,27,0,1,1,0,3,0,0,113,1,19,0,98,0,0,0
299,4,17,38,0,1,1,0,1,0,0,418,0,47,0,94,0,0,0
167,3,16,27,0,2,1,0,4,1,0,704,0,31,0,83,0,0,0
346,5,13,6,0,1,1,0,0,0,0,316,0,32,0,73,0,0,0
33,12,3,4,1,9,0,1,13,3,1,2162,6,397,1,14,1,1,1
461,2,34,36,0,2,1,0,4,1,0,197,1,35,0,89,0,0,0
119,4,29,14,0,1,1,0,2,0,0,453,0,26,0,84,0,0,0
146,5,14,6,0,1,1,0,4,1,0,151,0,43,0,83,0,0,0
471,3,19,46,0,1,1,0,1,1,0,549,0,10,0,88,0,0,0
43,9,3,3,1,3,0,1,10,9,1,2532,13,322,1,43,1,1,1
39,6,0,8,1,7,0,1,9,8,1,2404,5,232,1,44,1,1,1
590,3,11,29,0,1,1,0,1,0,0,623,1,20,0,95,0,0,0
100,3,35,42,0,0,1,0,1,0,0,190,0,23,0,79,0,0,0
16,10,3,3,1,4,0,1,9,8,1,2506,5,154,1,0,1,1,1
11,5,4,1,1,4,0,1,14,7,1,1914,14,439,1,10,1,1,1
39,11,4,5,1,6,0,1,14,5,1,1858,14,405,1,20,1,1,1
14,6,3,5,1,8,0,1,11,6,1,2961,7,181,1,12,1,1,1
417,3,6,14,0,0,1,0,2,0,0,360,0,31,0,80,0,0,0
372,3,18,20,0,2,1,0,0,1,0,551,1,49,0,71,0,0,0
40,11,3,5,1,4,0,1,13,4,1,820,8,378,1,5,1,1,1
350,3,31,32,0,2,1,0,0,0,0,690,1,25,0,86,0,0,0
589,3,12,34,0,0,1,0,1,0,0,649,1,28,0,99,0,0,0
301,2,37,41,0,1,1,0,4,1,0,623,1,45,0,93,0,0,0
519,3,12,38,0,0,1,0,4,0,0,528,0,18,0,72,0,0,0
81,4,17,40,0,0,1,0,2,1,0,102,0,32,0,72,0,0,0
573,3,28,14,0,0,1,0,1,0,0,485,0,10,0,73,0,0,0
561,2,29,38,0,2,1,0,4,0,0,780,1,27,0,82,0,0,0
83,1,11,33,0,2,1,0,2,1,0,134,1,31,0,75,0,0,0
329,2,12,27,0,2,1,0,3,0,0,147,1,25,0,78,0,0,0
509,2,11,8,0,0,1,0,1,0,0,594,1,26,0,94,0,0,0
33,8,3,0,1,7,0,1,11,9,1,1837,9,144,1,8,1,1,1
324,4,37,10,0,0,1,0,3,1,0,309,0,35,0,73,0,0,0
200,2,6,22,0,2,1,0,0,0,0,125,1,10,0,76,0,0,0
36,10,2,6,1,6,0,1,13,7,1,1983,8,321,1,13,1,1,1
406,2,9,41,0,1,1,0,3,1,0,559,0,33,0,96,0,0,0
118,2,21,36,0,0,1,0,2,0,0,286,1,27,0,92,0,0,0
543,2,20,26,0,0,1,0,1,0,0,231,0,25,0,86,0,0,0
6,7,1,8,1,5,0,1,7,8,1,2795,5,430,1,16,1,1,1
10,6,4,7,1,7,0,1,11,6,1,2376,14,439,1,6,1,1,1
11,14,4,7,1,9,0,1,12,5,1,1732,14,464,1,5,1,1,1
30,10,4,5,1,7,0,1,6,9,1,1759,12,128,1,35,1,1,1
113,2,13,29,0,2,1,0,4,1,0,337,0,37,0,94,0,0,0
44,12,1,0,1,3,0,1,12,9,1,1796,5,241,1,32,1,1,1
541,2,12,49,0,0,1,0,2,0,0,615,1,24,0,77,0,0,0
24,12,0,3,1,6,0,1,5,7,1,906,11,171,1,4,1,1,1
195,4,12,39,0,1,1,0,0,0,0,719,0,20,0,96,0,0,0
51,4,9,47,0,0,1,0,2,0,0,468,0,49,0,75,0,0,0
197,1,5,10,0,2,1,0,4,0,0,107,1,11,0,88,0,0,0
363,1,25,23,0,1,1,0,3,1,0,538,1,40,0,77,0,0,0
133,2,16,27,0,2,1,0,2,1,0,456,1,48,0,73,0,0,0
33,4,39,44,0,0,1,0,4,0,0,122,0,45,0,77,0,0,0
564,1,34,19,0,2,1,0,0,1,0,548,0,23,0,72,0,0,0
152,5,37,16,0,1,1,0,3,1,0,677,0,34,0,76,0,0,0
128,1,18,8,0,2,1,0,4,1,0,251,0,27,0,90,0,0,0
23,7,0,7,1,4,0,1,14,4,1,2920,11,218,1,14,1,1,1
215,2,12,30,0,0,1,0,3,1,0,143,0,20,0,85,0,0,0
408,1,13,11,0,2,1,0,4,1,0,710,0,10,0,82,0,0,0
335,4,6,15,0,2,1,0,3,1,0,671,0,33,0,72,0,0,0
547,4,32,9,0,2,1,0,3,0,0,757,1,30,0,83,0,0,0
433,5,28,20,0,1,1,0,1,1,0,482,1,16,0,87,0,0,0
411,3,28,27,0,1,1,0,3,0,0,334,0,30,0,92,0,0,0
354,5,10,21,0,0,1,0,2,1,0,357,0,10,0,87,0,0,0
361,1,12,12,0,1,1,0,0,0,0,422,0,30,0,90,0,0,0
20,12,3,6,1,9,0,1,8,8,1,2097,11,326,1,36,1,1,1
132,5,37,27,0,0,1,0,1,1,0,374,1,40,0,92,0,0,0
215,4,34,13,0,2,1,0,2,0,0,753,0,40,0,95,0,0,0
31,6,4,9,1,3,0,1,6,5,1,2369,12,181,1,24,1,1,1
13,14,1,9,1,7,0,1,11,7,1,2488,11,323,1,2,1,1,1
282,4,37,25,0,0,1,0,3,0,0,271,1,38,0,96,0,0,0
460,2,6,15,0,2,1,0,0,0,0,406,1,13,0,98,0,0,0
411,2,22,44,0,1,1,0,1,1,0,797,1,25,0,95,0,0,0
